VeriSign Class 3 Code Signing 2010 CA	5e75e997f3d70bb8c182d56b25b7d836	Primetech Ltd.	2012-01-17	2012-01-17	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5fd9c66395b91baf5b37b234946dfda1	Ruikai Technology Co.,Ltd	2011-08-01	2014-11-11	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	621bf6cbde0d4686e2824dbde3f3bb0a	Ingenieursbureau Matrix B.V.	2012-10-24	2013-10-08	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6260a35ca2ed3b8cb8f2deab4740eb36	Source Medical Solutions Inc.	2013-07-20	2013-10-28	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	63240f58a1a09638e849c4c001dbe1ef	SG Interactive, Inc.	2013-04-24	2013-11-01	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	639ebbecfeac0221b1eedcf28199308d	Nantong Lifang Tech Co.,LTD	2014-06-27	2014-07-23	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	6724340ddbc7252f7fb714b812a5c04d	YNK JAPAN Inc	2010-04-12	2011-07-29	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	67a7bd2b7b2fc7b9f99f56836cf5eab6	Georgia SoftWorks	2014-09-18	2014-12-01	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	68da3f44be50f00b6dbe92d62f56d128	Hangzhou Yifu Tech Co., Ltd.	2005-12-15	2006-12-16	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	69cbf2716573d8320c4523e455080837	Gala Lab	2011-06-14	2012-11-13	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	6ab1dd3a280f27edf66bb99818653407	Wuhan Weijun Keji Co.,Ltd.	2014-06-11	2015-03-06	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2001 CA	6D71E5485A58BBF86973F0DCFAD3696A	Info Products Corp.	2004-08-26	2005-08-28	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6e045559351975ee6a3de1680b06cfca	Shanghai Chunyan Electronic Technology Co., Ltd.	2012-03-22	2012-03-22	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6e1c43a41d4ddc805a8561c69ceda182	Qingdao Ruanmei Network Technology Co.,Ltd.	2011-12-12	2012-01-27	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2001 CA	6eb40ea11eaac847b050de9b59e25bdc	My Free Internet Update	2011-12-08	2011-12-08	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	75a38507bf403b152125b8f5ce1b97ad	isonet ag	2014-03-24	2014-04-08	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	77e0117e8b2b8faa84bed961019d5ef8	Reiner Wodey Informationssysteme	2013-11-06	2013-11-28	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	7bd55818c5971b63dc45cf57cbeb950b	XL Games Co.,Ltd.	2013-06-21	2013-07-04	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	7c63743434cefee113b40ca3e867a9cc	Jingzhou Yiyu Tech Co.,LTD	2014-05-16	2014-05-16	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	7cb45ab370a1820778b4e71e8a32761b	Towers Watson & Co	2011-09-28	2011-09-28	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	7fae9e54789d8a5a8607f13d524e7f23	CHENGDU YIWO Tech Development Co., Ltd.	2012-04-23	2012-04-23	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	42a5371264ff71c383b9467e1d76dbb1	Ease Entertainment Services, LLC	2012-11-27	2013-11-19	Round 3 deployment of SymVT revoked signers (just 2 certs that were held up in round 2)
VeriSign Class 3 Code Signing 2004 CA	7f01fb34d50690995e6f42c0771ce87f	Lenovo Information Products (Shenzhen) Co.,Ltd	2012-06-03	2015-04-21	Round 3 deployment of SymVT revoked signers (just 2 certs that were held up in round 2)
VeriSign Class 3 Code Signing 2010 CA	26319750e85409f945694014a4ed265a	Awareness Technologies, Inc.	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
VeriSign Class 3 Code Signing 2010 CA	3f75b6fa72b8cde336a61550c70978d2	Reimage Limited	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
VeriSign Class 3 Code Signing 2010 CA	59f8d19475e75f9338df32a94183402f	Systweak Software	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
VeriSign Class 3 Code Signing 2009-2 CA	707e68e6802eedabc3757c9005ac1028	Softonic International	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
